id,name,url,Année,Boite de vitesses,Carburant,Carrosserie,Couleur,Date,Importé neuf,Kilométrage,Nombre de portes,Première main,Puissance fiscale,Voiture personnalisée (tuning),Véhicule dédouané,Véhicule en garantie
469141,Peugeot 508 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469141/peugeot-508-.html,2020,Automatique,Diesel,,,11-04-2025,,54 000,5,,8,,2020,
468941,Opel Corsa ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468941/opel-corsa-.html,2022,Manuelle,Diesel,,,11-04-2025,,39 000,5,,6,,2022,
467554,Renault Clio ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467554/renault-clio-.html,2024,Manuelle,Diesel,,,11-04-2025,,14 000,5,Oui,6,,2024,
467555,Volkswagen Golf 8 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467555/volkswagen-golf-8-.html,2024,Automatique,Diesel,,,11-04-2025,,14 000,5,Oui,8,,2024,
462783,Peugeot 308 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/462783/peugeot-308-.html,2022,Automatique,Diesel,,,11-04-2025,,64 000,5,Oui,6,,2022,
462784,Land Rover Range Rover Velar ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/462784/land-rover-range-rover-velar-.html,2017,Automatique,Diesel,,,11-04-2025,,119 000,5,Oui,8,,2017,
468433,Bmw Serie 4 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468433/bmw-serie-4-.html,2022,Automatique,Diesel,,,11-04-2025,,99 000,5,Oui,8,,2022,
406322,Mercedes Benz Classe Gle ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406322/mercedes-benz-classe-gle-.html,2016,Automatique,Diesel,Suv et 4x4,Blanc cassé,11-04-2025,Oui,160 000,5,Oui,12,,,
441927,Porsche Boxster Porsche Boxter 2008,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/441927/porsche-boxster-porsche-boxter-2008.html,2008,Manuelle,Essence,Cabriolet,Gris anthracite,11-04-2025,Oui,44 000,2,Oui,19,,,
441928,Bmw Serie 5 Bmw 520D 2019,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/441928/bmw-serie-5-bmw-520d-2019.html,2019,Automatique,Diesel,Berline,Noir,11-04-2025,,110 000,5,Oui,8,,,
441934,Porsche Cayenne Porsche Cayenne 30D,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/441934/porsche-cayenne-porsche-cayenne-30d.html,2013,Automatique,Diesel,Suv et 4x4,Noir,11-04-2025,,160 000,5,Oui,12,,,
442969,Bentley Continental Gt ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/442969/bentley-continental-gt-.html,2019,Automatique,Essence,Coupé,Noir,11-04-2025,Oui,17 000,5,Oui,34,,,
467269,Bmw Serie 5 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467269/bmw-serie-5-.html,2019,Automatique,Diesel,,,11-04-2025,,129 000,5,,8,,2019,
469144,Bmw Serie 5 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469144/bmw-serie-5-.html,2023,Automatique,Diesel,,,11-04-2025,,189 000,5,Oui,8,,2023,
466073,Audi Q2 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466073/audi-q2-.html,2017,Automatique,Diesel,,,11-04-2025,,159 000,5,,8,,2017,
466367,Bmw Serie 3 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466367/bmw-serie-3-.html,2012,Automatique,Diesel,,,11-04-2025,,249 000,5,Oui,8,,2012,
467683,Peugeot 3008 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467683/peugeot-3008-.html,2018,Manuelle,Diesel,,,11-04-2025,,109 000,5,,6,,2018,
408340,Audi Q3 Sportback,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408340/audi-q3-sportback.html,2023,Automatique,Essence,Crossover,Noir,11-04-2025,Oui,,5,,,,,24 Mois
408344,Porsche Macan ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408344/porsche-macan-.html,2022,Automatique,Essence,Suv et 4x4,Gris,11-04-2025,Oui,10 000,5,,11,,,24 Mois
